iter	F1	Logloss
0	0.8487275454	0.6511800233
1	0.8565563588	0.6127603836
2	0.8650733546	0.5732789829
3	0.8644788836	0.5391827253
4	0.8675451049	0.5156005909
5	0.8743280408	0.4917834235
6	0.8766621688	0.4722299093
7	0.8812005101	0.4539174626
8	0.8877318928	0.4371557947
9	0.8835838702	0.4221642223
10	0.8866891924	0.4072548678
11	0.8917271991	0.3931280688
12	0.8922370158	0.3804654986
13	0.8977230595	0.3685170141
14	0.8987971357	0.3604916114
15	0.9037043112	0.3523702254
16	0.9047923623	0.3434002188
17	0.9069018324	0.3360391352
18	0.9101802024	0.3283108221
19	0.907392383	0.3218138614
20	0.9091677774	0.3173102688
21	0.910638498	0.3120202638
22	0.9126308304	0.3064849142
23	0.915008596	0.3019236571
24	0.9179376474	0.2977412858
25	0.9178400323	0.2916045576
26	0.9192079069	0.284810611
27	0.9197523271	0.2802195715
28	0.9215862025	0.2756225091
29	0.9219415471	0.2703013258
30	0.9225910039	0.2654852508
31	0.9227632273	0.260976912
32	0.9248649821	0.2573970474
33	0.9264833439	0.2538286555
34	0.9260147115	0.2502905657
35	0.9263489609	0.246599815
36	0.9270873616	0.2443870996
37	0.9278174271	0.2420141871
38	0.9289284836	0.238972561
39	0.9300870257	0.2364701713
40	0.932138884	0.232917678
41	0.9328968712	0.2295939733
42	0.9329329329	0.2274161344
43	0.933160088	0.2255324359
44	0.9336413616	0.2229676045
45	0.9351471645	0.2208393366
46	0.9354970617	0.2184772158
47	0.9361607664	0.216581547
48	0.9362055165	0.2152015652
49	0.9366070125	0.2131484679
50	0.9372006045	0.2117904248
51	0.9378451991	0.2103329073
52	0.9398546244	0.2076221514
53	0.9405781803	0.2058459647
54	0.9407770389	0.2041342233
55	0.9418023368	0.2017725853
56	0.9423676194	0.1996665379
57	0.9471096855	0.1979818345
58	0.9481407525	0.1968939015
59	0.9484633021	0.1950572595
60	0.9491509686	0.1935421505
61	0.9495357709	0.1920205717
62	0.9497558341	0.1900811394
63	0.9503057616	0.188401659
64	0.9503884611	0.1874354268
65	0.9506563478	0.1862965136
66	0.9508371845	0.1850168455
67	0.9515669185	0.1825213387
68	0.9519511671	0.1812330377
69	0.9527092222	0.17915602
70	0.953424976	0.1775196492
71	0.9537510458	0.176562967
72	0.9542206472	0.175310175
73	0.9545311974	0.1735138347
74	0.9547858906	0.1725764613
75	0.9550376429	0.1713352101
76	0.9554416908	0.1702893408
77	0.956536394	0.1683144311
78	0.9567980851	0.1676543327
79	0.9573659625	0.165623018
80	0.9574893375	0.1641671821
81	0.9576988352	0.1631126364
82	0.958281289	0.1615662007
83	0.9583120323	0.1605395055
84	0.9590884528	0.1589038536
85	0.9596778411	0.1577249689
86	0.9602082861	0.1563975879
87	0.9605244804	0.1550192699
88	0.9605792251	0.1543958583
89	0.961083048	0.1531034994
90	0.9613189011	0.1521379958
91	0.9613448504	0.1515386112
92	0.9614810079	0.1503917109
93	0.9617276628	0.1493631146
94	0.9618526551	0.1485998434
95	0.9623023256	0.1477258052
96	0.9625511723	0.1464100391
97	0.9627066602	0.1449642517
98	0.9631538833	0.1436995238
99	0.9632469731	0.1423671176
100	0.9635044143	0.1415552422
101	0.9642536835	0.1397609642
102	0.9644240232	0.1391531237
103	0.9647513954	0.1382869397
104	0.9650786996	0.1375157937
105	0.9653216885	0.13684197
106	0.9656003633	0.1358139758
107	0.965762556	0.1351181738
108	0.9660717925	0.1343604767
109	0.9664787551	0.1332354694
110	0.9665727131	0.1326096002
111	0.966614839	0.1322510923
112	0.9669410415	0.1308385438
113	0.9671641095	0.1300484519
114	0.9675565735	0.1289680874
115	0.9677393037	0.1285135722
116	0.9681317145	0.1277117153
117	0.9682238199	0.127102439
118	0.9687900762	0.1258296089
119	0.9689519913	0.1250270044
120	0.9692381219	0.1242773222
121	0.9697308959	0.1228766408
122	0.9701362849	0.1220862657
123	0.9701830314	0.1212758251
124	0.9702916008	0.1206789065
125	0.9704351884	0.1200329765
126	0.9704233159	0.1192767075
127	0.9707102231	0.1188925773
128	0.9708777519	0.1180061369
129	0.971221804	0.1170652683
130	0.9712865047	0.1161877268
131	0.9713885484	0.1155963709
132	0.9717547095	0.1148812307
133	0.9722152516	0.1137231623
134	0.9722596723	0.1131739613
135	0.9722945441	0.1124777391
136	0.9724711721	0.1117728277
137	0.9725620259	0.1111343488
138	0.972641537	0.1103547481
139	0.9726585768	0.1101069399
140	0.9727880034	0.109766765
141	0.9730051677	0.109166551
142	0.9733224318	0.108336512
143	0.9733818539	0.1075782524
144	0.9734816182	0.107125527
145	0.9736823661	0.1065933687
146	0.9739498154	0.1057993465
147	0.9740579126	0.1051996713
148	0.974145082	0.1048579523
149	0.9741950937	0.1043402986
150	0.9742717737	0.1035386032
151	0.974614364	0.1027536294
152	0.9749127412	0.1019026931
153	0.9749055743	0.1015120315
154	0.9751125665	0.1008375527
155	0.9753293609	0.1002108047
156	0.9753561487	0.09964694076
157	0.9754853801	0.09906822326
158	0.9757138764	0.09855622244
159	0.9760439818	0.0978635479
160	0.9762094133	0.09731688696
161	0.9763347527	0.0966716922
162	0.9765349928	0.09618315833
163	0.9766848773	0.09565692389
164	0.9769395467	0.09502793079
165	0.9770720834	0.09465324012
166	0.9772995869	0.09408522293
167	0.9774010308	0.09370224623
168	0.9775599027	0.09323314754
169	0.9776173539	0.09275857279
170	0.9776337267	0.09252739099
