iter	Passed	Remaining
0	80	40374
1	98	24489
2	115	19140
3	132	16396
4	149	14777
5	164	13563
6	180	12742
7	196	12083
8	210	11467
9	223	10969
10	235	10461
11	246	10022
12	257	9655
13	269	9339
14	280	9056
15	291	8825
16	302	8607
17	314	8422
18	325	8243
19	336	8082
20	348	7949
21	359	7819
22	371	7695
23	382	7586
24	394	7491
25	405	7392
26	417	7306
27	428	7222
28	439	7138
29	450	7060
30	461	6985
31	472	6911
32	483	6842
33	495	6784
34	506	6724
35	517	6670
36	528	6615
37	539	6562
38	551	6523
39	563	6484
40	574	6433
41	586	6393
42	597	6346
43	607	6300
44	619	6258
45	630	6223
46	641	6184
47	652	6147
48	663	6110
49	675	6078
50	686	6043
51	697	6009
52	708	5976
53	719	5940
54	730	5909
55	741	5880
56	753	5854
57	764	5825
58	775	5798
59	787	5771
60	798	5744
61	809	5720
62	821	5696
63	832	5672
64	843	5646
65	855	5622
66	866	5597
67	877	5575
68	888	5552
69	900	5529
70	911	5507
71	922	5485
72	934	5464
73	945	5444
74	957	5426
75	968	5404
76	979	5382
77	991	5363
78	1002	5341
79	1013	5321
80	1025	5302
81	1036	5281
82	1048	5267
83	1059	5247
84	1071	5231
85	1082	5212
86	1094	5193
87	1105	5175
88	1116	5155
89	1128	5139
90	1143	5140
91	1160	5145
92	1173	5137
93	1187	5127
94	1200	5117
95	1213	5107
96	1225	5089
97	1236	5072
98	1247	5054
99	1259	5038
100	1270	5020
101	1282	5002
102	1293	4985
103	1304	4967
104	1316	4950
105	1327	4933
106	1338	4917
107	1350	4900
108	1361	4884
109	1373	4868
110	1384	4851
111	1395	4833
112	1406	4818
113	1418	4801
114	1430	4787
115	1441	4771
116	1452	4756
117	1464	4740
118	1475	4723
119	1486	4708
120	1498	4693
121	1509	4678
122	1521	4663
123	1532	4647
124	1544	4633
125	1555	4617
126	1567	4603
127	1578	4586
128	1591	4576
129	1605	4569
130	1619	4561
131	1633	4552
132	1647	4546
133	1661	4538
134	1675	4529
135	1688	4520
136	1702	4510
137	1715	4499
138	1732	4499
139	1744	4484
140	1755	4469
141	1767	4455
142	1778	4440
143	1790	4425
144	1800	4409
145	1812	4394
146	1824	4380
147	1835	4366
148	1846	4350
149	1857	4335
150	1869	4320
151	1881	4306
152	1892	4292
153	1904	4278
154	1915	4264
155	1928	4252
156	1940	4238
157	1951	4224
158	1962	4209
159	1974	4195
160	1985	4180
161	1996	4166
162	2008	4152
163	2019	4137
164	2031	4124
165	2042	4109
166	2054	4096
167	2065	4082
168	2076	4066
169	2087	4053
170	2099	4038
171	2110	4025
172	2122	4011
173	2133	3997
174	2145	3983
175	2156	3969
176	2167	3955
177	2179	3941
178	2189	3927
179	2201	3913
180	2214	3902
181	2227	3892
182	2241	3882
183	2255	3873
184	2268	3862
185	2282	3852
